Comment,Label
nasi kuning non kolestrol kaka,Positif
@w3we3 non php kakaaa,Positif
Bagus kak😍,Positif
show!!! 😍😍,Positif
Apa ini,Netral
Kak k Bekasi gmn?,Netral
Kalau k cianjur ka?,Netral
opal di bjb kaaa...,Netral
Ka brp jar amun ke plk ongkir nya ?,Netral
ke pontianak kak,Netral
via j&t 7rbu mba🤗,Netral
bapak hendi manaa🤣,Netral
Selebgram ih @dyah_hardiani ni sekalinya,Netral
@jhendy_ alahan beb ae..yg me like ja 150 juta ikung yat 🤣🤣🤣,Netral
@kawan_nasi @jhendy_  mbaaah... Jelaaass .... Aku membuka jasa endorse jua . Hahha🤣,Netral
Umpat bezumbanya kaah gus ? Haha,Netral
kd bisa ka takutnya nanti basi,Negatif
Siapa itu cantiknya mirip urang arab?,Positif
@dyah_hardiani curhat 😑,Negatif
follback kak,Netral
sidin pang bedua ,Netral
di wa mamanya...wkkwkwkwkwkw,Netral
Ayo diorder diorder shaaayyy 😁😁😁,Positif
@agus.patahilah siappp calon mentri PUPR kmi ❤❤❤❤,Positif
@kawan_nasi wkwkwkwkwk 🙊🙊🙊,Netral
Lfl,Netral
Lfl u1,Netral
Tahan berapa lama ? Ongkir ke bjm berapa ?,Netral
Follow back :),Netral
Nah 😂😂😂 @syahdanbelong,Netral
@syahlaa_hm @echasyahrun nyaman nah🤤🤤,Positif
kalau mau pesen gmna cara nyaaaa,Positif
@armiyanti91 boleh dm siss,Positif
Mandai bnjr kd nymn bu msaknya manis.  @chichalhyesha,Negatif
L. F. L,Netral
"Bagus 👍, follback ya ka...",Positif
Nyamannya habis jua kah tu sjidar nasinya,Positif
Makasih kakkk mandaynyaaa enak bingitttt,Positif
cara beli nya gmn kk ... pengen,Positif
@zin.ryto Wakakaakkakk Lamaaaaas 😜,Negatif
@annisa_ulfh,Netral
Mantappp julak 👍👍👍👍,Positif
Luhh niluuhh itu mandai apa monday si? 😁😁😁,Netral
@agus.patahilah biasa im..lama d jakarta..🙊🙊🙊🙊,Negatif
Pengriman ke bontang gabisa kah ka,Negatif
@kawan_nasi orang jakarte yaaaaaaaa,Netral
Follback ka (:,Netral
@agus.patahilah mandaaayyyyy.... m ei n di ey why,Netral
@witawidhusadi meindieywhy ...,Netral
@agus.patahilah hahahaaa,Netral
@anitachelin84 @setiasmarnie_s pesen inikah kt yank beliuran🤤🤤🤤,Positif
Kok sist?,Negatif
@daniekrewell waa salahh gara2 pian pake sis di video jd teumpat jw..maaf maaf maaf,Negatif
@chichalhyesha aq krg suka non.....,Negatif
Brp kaka 1 cupnya?,Netral
@juantinike 25 ding 😊😊,Netral
follback ya,Netral
"loktabat utara, dekat barber klimis",Netral
Gosok langsung liin 😁,Netral
@agus.patahilah kau pikir apa dgosok imm...bajuu?? 😂😂😂,Netral
follback juga yah hehe,Netral
follow back kak hehe?,Netral
Follback hihihihi,Netral
Berapaan ka manday nya???,Netral
ulun kd tahu pang lah nyaman banar apa kd🙇‍♀️,Negatif
@almaghfirahalmaghfirah ad yg 25. 65. 130 ding 😊,Netral
udah habis ka,Negatif
dmn donk ,Netral
