Kata,Bobot
zuhud,-1
ziarah,-4
zero,-3
zat pemabuk,-3
zalim,-5
zakar,-3
yuwaraja,-4
yunior,-4
yodah,-2
yg tuan,-3
yg dipertuan,-3
yelah,-3
yaudh,-3
yaudahlah,-3
yaudah,-4
yauda,-4
yaoi,-5
yampun,-3
yalord,-2
yakali,-3
yahhh,-3
yaahh,-3
xx,-1
wreda,-4
wimana,-4
welas,-3
wejangan,-3
wejang,-3
week,-4
wedus,-3
wawa,-3
watu,-3
waswas,-3
waspada,-3
wasit,-3
warta,-3
warita,-4
waris,-2
wara-wara,-3
waras,-3
wara,-3
wangsit,-3
walang hati,-5
waham,-3
wafat,-5
waduk,-3
waduh,-3
wacana,-3
wabah,-5
vulgar,-3
vital,-4
vibrasi,-3
vampir,-5
validitas,-3
vakum,-3
vagina,-4
uyuh,-3
utang,-4
usul,-3
usrek,-5
usir,-4
usil,-3
usikan,-5
usang,-5
usak,-3
usai,-2
urut-urutan,-4
urung,-5
urun,-4
urita,-3
urit,-3
uring-uringan,-5
urgen,-4
uras,-5
unting,-5
unmood,-3
unjuk rasa,-3
unjuk,-3
unit,-4
ungkap,-3
unfollow,-2
undian,-5
unam,-3
umbul-umbul,-3
umbar,-3
uler,-3
ulasan pers,-3
ulam-ulam,-5
ukir,-5
ujung tangan,-4
ujar,-4
ugh,-4
ugal-ugalan,-2
udi,-5
udeh,-3
udahan,-4
uci-uci,-4
ucek,-3
uber,-3
uar-uar,-3
uar,-3
ua,-4
typonya,-3
typo,-2
tuyul,-4
tutur,-4
tutup,-2
tusuk,-4
turut,-3
tupai,-5
tuntut,-3
tunjangan,-3
tungku,-4
tunggul,-3
tunggang,-1
tunggakan,-4
tunduk,-5
tunasusila,-5
tunas,-2
tun,-4
tumpur,-5
tumpul,-3
tumpuk,-4
tumpuan,-3
tumpu,-3
tumpat,-4
tumpasan,-5
tumpas,-4
tumor,-4
tumbuk,-3
tumben,-2
tumbang,-5
tumandang,-3
tulus hati,-1
tulup,-3
tuli,-3
tular,-4
tulang,-4
tulah,-3
tukas,-5
tuil,-3
tuhmah,-3
tuhkan,-4
tugal,-4
tubuh,-4
tubruk,-3
tuas,-3
tuak,-3
tuah,-3
tt,-2
tresna,-1
trek,-3
trayek,-4
travesti,-5
traumatis,-4
trauma,-5
tragedi,-5
tosan aji,-4
topo,-5
topek,-4
topan,-3
tonton,-4
tonjok,-5
tongong,-3
tolong,-2
tolol,-5
tolak,-4
toboh,-4
tobak,-3
tkde,-1
titisan darah,-3
titip api,-1
titik berat,-3
titian,-4
titi,-3
tiri,-2
tipu muslihat,-5
tipeks,-3
tinju,-5
tinja,-5
tingkeb,-3
tingkah,-5
tinggikan,-2
tinggalkan,-3
tinggal,-3
tingau,-4
tindik,-3
tindih,-4
tindas,-5
timpuk,-5
timpang,-4
timpa,-3
timburu,-5
timbun,-3
timbangan,-5
timbalan,-2
timbal,-2
timang,-1
tilas,-3
tilap,-4
tilam,-4
tike,-3
tikai,-4
tidurin,-2
tiduran,-2
tidur,-3
tidak,-3
tiada,-5
tewas,-5
tetua,-2
tetiba,-3
tetesan darah,-3
tetes,-3
tetek,-4
tetas,-4
tetap hati,-1
tesis,-3
terzalimi,-5
terungkap,-3
terudak,-3
tertutup,-5
tertunda,-3
tertumbuk akal,-5
tertumbuk,-4
tertular,-4
tertulang,-5
tertuju,-3
tertubruk,-4
tertinggal,-3
tertindas,-5
tertib,-2
tertenung,-3
tertegun,-3
tertegak,-4
tertawan,-3
tertata,-4
tertangkap tangan,-4
tertangkap basah,-3
tertanggung,-4
tertangguh,-3
tertancap,-3
tertanam,-5
tertabrak,-4
tersusul,-3
tersuruk,-5
tersuntuk,-4
tersungkap,-3
tersumbat,-5
tersohor,-1
tersisih,-5
tersirep,-3
tersirap hatinya,-2
tersirah,-5
tersingkir,-5
tersingkap,-3
tersinggung,-5
tersimbah,-5
tersila,-3
tersiksa,-5
tersia-sia,-3
tersiar,-3
